epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.33975,1.43447,3.87691,1.60465,0.00077,0.25,0.00102,0.00039,1.37641,6.77794,1.7532,2.5e-05,2.5e-05,2.5e-05
2,3.48243,1.53151,3.85461,1.66278,0.00239,0.625,0.0055,0.00224,1.19918,5.73652,1.64994,6.18813e-05,6.18813e-05,6.18813e-05
3,4.82279,1.40602,3.02446,1.60388,0.54986,0.75,0.95333,0.54892,1.25702,3.23768,1.72399,9.802e-05,9.802e-05,9.802e-05
4,6.03502,1.20759,2.16743,1.41462,0.65295,0.76337,0.82917,0.64908,0.74458,2.95055,1.25226,0.000133416,0.000133416,0.000133416
5,7.20034,1.04773,1.73951,1.2883,0.42968,0.96443,0.69884,0.53219,0.71828,2.81013,1.16041,0.00016807,0.00016807,0.00016807
6,8.29963,1.03052,1.55549,1.29788,0.61979,1,0.995,0.71557,0.63659,2.37148,1.07635,0.000201981,0.000201981,0.000201981
7,9.46125,1.01443,1.60852,1.31249,0.92254,0.9727,0.995,0.72742,0.70977,1.77553,1.0279,0.00023515,0.00023515,0.00023515
8,10.6046,1.00138,1.51294,1.29218,0.64396,0.875,0.91167,0.6234,0.83194,2.00332,1.09673,0.000267576,0.000267576,0.000267576
9,11.7282,0.94851,1.36298,1.27926,0.92699,0.58317,0.64048,0.42422,0.78358,2.91969,1.19579,0.00029926,0.00029926,0.00029926
10,12.8044,0.99756,1.39356,1.28566,0.42081,0.7467,0.62187,0.40317,0.90714,3.21709,1.2669,0.000330201,0.000330201,0.000330201
11,13.8972,0.87795,1.3206,1.21014,0.49118,0.875,0.71887,0.55275,0.99262,4.60979,1.36675,0.0003604,0.0003604,0.0003604
12,15.0154,0.98523,1.29654,1.29658,0.70078,0.875,0.87105,0.61045,1.15646,8.95189,1.55105,0.000389856,0.000389856,0.000389856
13,16.1311,0.96211,1.19237,1.27258,0.5757,0.76412,0.87102,0.6345,0.99774,16.363,1.36029,0.00041857,0.00041857,0.00041857
14,17.1956,1.01252,1.25188,1.26645,0.3931,0.875,0.87072,0.53462,1.13847,20.4354,1.6299,0.000446541,0.000446541,0.000446541
15,18.2783,0.84958,1.04792,1.18269,0.57006,0.875,0.89083,0.67816,0.8141,3.67095,1.39804,0.00047377,0.00047377,0.00047377
16,19.3449,1.0142,1.21375,1.36471,0.69966,0.875,0.89273,0.67477,0.74642,2.61958,1.29386,0.000500256,0.000500256,0.000500256
17,20.4566,0.94832,0.99363,1.23833,0.63382,0.5912,0.49358,0.42548,0.7332,3.12629,1.39131,0.000526,0.000526,0.000526
18,21.5235,0.91408,1.12125,1.26208,0.5919,0.61971,0.50179,0.43561,0.72333,4.91718,1.38118,0.000551001,0.000551001,0.000551001
19,22.5699,0.86878,0.97762,1.2182,0.52103,1,0.796,0.61845,0.85106,6.67173,1.74674,0.00057526,0.00057526,0.00057526
20,23.6236,0.9642,1.04279,1.29651,0.72503,0.98713,0.82917,0.61784,0.95844,5.43922,1.76155,0.000598776,0.000598776,0.000598776
21,24.6825,0.90707,0.91733,1.18776,0.65606,0.75,0.76698,0.47831,0.99858,5.20267,1.75523,0.00062155,0.00062155,0.00062155
22,25.7872,0.87267,0.9288,1.17505,0.76796,0.41284,0.58021,0.45364,0.97309,5.2268,1.75298,0.000643581,0.000643581,0.000643581
23,26.8632,0.96954,1.01096,1.23258,0.46644,0.75,0.28426,0.18836,1.1095,5.31017,2.29014,0.00066487,0.00066487,0.00066487
24,27.9029,0.92508,0.95852,1.2251,0.40074,0.73434,0.36887,0.25617,1.14429,5.29678,2.58379,0.000685416,0.000685416,0.000685416
25,28.9799,0.94319,1.02286,1.23651,0.53156,0.75,0.57979,0.44163,1.26045,4.40596,2.48986,0.00070522,0.00070522,0.00070522
26,30.0401,0.95111,0.99067,1.30034,0.42688,0.875,0.5507,0.41213,1.38441,4.63246,2.04328,0.000724281,0.000724281,0.000724281
27,31.0921,0.84028,0.86916,1.18861,0.64491,0.5,0.40857,0.31575,0.89571,6.37348,1.54265,0.0007426,0.0007426,0.0007426
28,32.1293,0.96589,0.94827,1.25647,0.33404,0.86014,0.75396,0.47579,0.92783,6.03393,1.53329,0.000760176,0.000760176,0.000760176
29,33.1305,0.86563,0.8399,1.15528,0.33404,0.86014,0.75396,0.47579,0.92783,6.03393,1.53329,0.00077701,0.00077701,0.00077701
30,34.1729,0.88776,0.88001,1.20305,0.37162,1,0.73375,0.53529,0.65879,2.80557,1.22627,0.000793101,0.000793101,0.000793101
31,35.2018,0.89018,0.84051,1.18455,0.55171,0.875,0.82896,0.73364,0.49466,1.54299,1.16224,0.00080845,0.00080845,0.00080845
32,36.3292,0.91328,0.85428,1.21318,0.84576,0.625,0.72689,0.59423,0.53005,1.81716,1.22407,0.000823056,0.000823056,0.000823056
33,37.3405,0.95607,0.92519,1.2922,0.84576,0.625,0.72689,0.59423,0.53005,1.81716,1.22407,0.00083692,0.00083692,0.00083692
34,38.3649,0.885,0.87556,1.18433,0.80091,0.54632,0.68663,0.48632,0.9035,2.8468,1.5362,0.000841625,0.000841625,0.000841625
35,39.4107,0.84929,0.8163,1.15498,0.48192,0.5,0.68523,0.46029,0.99949,3.35606,1.65891,0.00082925,0.00082925,0.00082925
36,40.4667,0.8818,0.91632,1.17938,0.77574,0.55631,0.76033,0.5123,1.09138,3.15071,1.82084,0.000816875,0.000816875,0.000816875
37,41.5012,0.92411,0.9125,1.24994,0.77574,0.55631,0.76033,0.5123,1.09138,3.15071,1.82084,0.0008045,0.0008045,0.0008045
38,42.5603,0.84327,0.84876,1.16559,0.82868,0.625,0.75488,0.49484,1.07063,2.11995,1.67146,0.000792125,0.000792125,0.000792125
39,43.5662,0.81388,0.79963,1.16108,0.62071,0.51839,0.51179,0.31876,1.46521,2.15508,2.41981,0.00077975,0.00077975,0.00077975
40,44.5956,0.90574,0.82255,1.19118,0.54155,0.375,0.44702,0.30736,1.34791,2.50049,2.21745,0.000767375,0.000767375,0.000767375
41,45.6187,0.84583,0.82127,1.20312,0.54155,0.375,0.44702,0.30736,1.34791,2.50049,2.21745,0.000755,0.000755,0.000755
42,46.687,0.79716,0.81046,1.16326,0.43837,0.95492,0.70479,0.45521,1.56445,3.52576,1.9613,0.000742625,0.000742625,0.000742625
43,47.7233,0.89853,0.85158,1.20444,0.43803,0.8562,0.65409,0.42626,1.33137,3.16907,1.83313,0.00073025,0.00073025,0.00073025
44,48.7635,0.76087,0.71933,1.11505,0.68056,0.7434,0.80219,0.60586,0.82172,1.4499,1.30062,0.000717875,0.000717875,0.000717875
45,49.769,0.83586,0.83226,1.14713,0.68056,0.7434,0.80219,0.60586,0.82172,1.4499,1.30062,0.0007055,0.0007055,0.0007055
46,50.8213,0.78661,0.76585,1.16148,0.8958,0.78915,0.9325,0.74963,0.66567,1.06813,1.21179,0.000693125,0.000693125,0.000693125
47,51.8978,0.80217,0.82643,1.14675,0.64865,1,0.95333,0.769,0.68399,0.99014,1.16144,0.00068075,0.00068075,0.00068075
48,52.9743,0.82189,0.78587,1.15395,0.82482,0.73896,0.9325,0.7397,0.65411,1.49064,1.16818,0.000668375,0.000668375,0.000668375
49,53.9671,0.82223,0.84816,1.16382,0.82482,0.73896,0.9325,0.7397,0.65411,1.49064,1.16818,0.000656,0.000656,0.000656
50,55.0092,0.7919,0.7582,1.13895,0.44175,1,0.91167,0.75423,0.68549,1.46351,1.17054,0.000643625,0.000643625,0.000643625
51,56.0517,0.76349,0.80098,1.13944,0.49189,0.875,0.9325,0.70664,0.72968,1.24711,1.18429,0.00063125,0.00063125,0.00063125
52,57.0986,0.7661,0.74862,1.05967,0.75609,0.94176,0.995,0.74086,0.7788,1.2182,1.24676,0.000618875,0.000618875,0.000618875
53,58.1032,0.76104,0.73173,1.07365,0.75609,0.94176,0.995,0.74086,0.7788,1.2182,1.24676,0.0006065,0.0006065,0.0006065
54,59.1392,0.67396,0.63982,1.05944,0.82212,1,0.995,0.78004,0.84968,0.93999,1.35587,0.000594125,0.000594125,0.000594125
55,60.204,0.72149,0.71366,1.11758,0.93249,1,0.995,0.88315,0.58385,0.70304,1.05602,0.00058175,0.00058175,0.00058175
56,61.2743,0.75202,0.77941,1.15131,0.8675,1,0.95333,0.86233,0.5706,0.6285,0.99769,0.000569375,0.000569375,0.000569375
57,62.2948,0.72604,0.69223,1.08088,0.8675,1,0.95333,0.86233,0.5706,0.6285,0.99769,0.000557,0.000557,0.000557
58,63.3143,0.76858,0.73351,1.14671,0.91894,0.99815,0.995,0.97013,0.56124,0.60964,0.97907,0.000544625,0.000544625,0.000544625
59,64.3657,0.66132,0.62271,1.07593,0.82028,0.95453,0.995,0.93281,0.50571,0.71432,0.97233,0.00053225,0.00053225,0.00053225
60,65.4057,0.71712,0.67476,1.12534,0.94828,0.91709,0.995,0.93297,0.48968,0.69495,0.9582,0.000519875,0.000519875,0.000519875
61,66.3996,0.74675,0.64521,1.10294,0.94828,0.91709,0.995,0.93297,0.48968,0.69495,0.9582,0.0005075,0.0005075,0.0005075
62,67.4709,0.6987,0.6413,1.09165,0.95005,0.98646,0.995,0.89547,0.49113,0.65583,0.95992,0.000495125,0.000495125,0.000495125
63,68.4998,0.65147,0.60261,1.04394,0.94176,1,0.995,0.90818,0.42989,0.66595,0.93734,0.00048275,0.00048275,0.00048275
64,69.5164,0.71332,0.64665,1.07357,0.92538,1,0.995,0.94529,0.50995,0.60179,0.99516,0.000470375,0.000470375,0.000470375
65,70.5086,0.79888,0.77065,1.18134,0.92538,1,0.995,0.94529,0.50995,0.60179,0.99516,0.000458,0.000458,0.000458
66,71.5222,0.81037,0.69482,1.1949,0.93861,1,0.995,0.89553,0.56887,0.60313,1.05051,0.000445625,0.000445625,0.000445625
67,72.5313,0.64611,0.5831,1.04406,0.8825,1,0.995,0.85846,0.56252,0.55863,1.09253,0.00043325,0.00043325,0.00043325
68,73.5641,0.66148,0.62372,1.07158,0.86006,1,0.995,0.85852,0.58334,0.56435,1.14001,0.000420875,0.000420875,0.000420875
69,74.561,0.66205,0.58527,1.06328,0.86006,1,0.995,0.85852,0.58334,0.56435,1.14001,0.0004085,0.0004085,0.0004085
70,75.6037,0.69759,0.60951,1.05995,0.85457,1,0.995,0.84575,0.55431,0.55823,1.12458,0.000396125,0.000396125,0.000396125
71,76.6225,0.71842,0.6125,1.10488,0.85565,1,0.995,0.8772,0.55619,0.57215,1.0953,0.00038375,0.00038375,0.00038375
72,77.6801,0.65412,0.60431,1.04717,0.87585,1,0.995,0.87064,0.55189,0.56686,1.04735,0.000371375,0.000371375,0.000371375
73,78.6885,0.6271,0.60278,1.05042,0.87585,1,0.995,0.87064,0.55189,0.56686,1.04735,0.000359,0.000359,0.000359
74,79.7166,0.72497,0.67157,1.1022,0.91238,1,0.995,0.89553,0.54791,0.54523,1.0157,0.000346625,0.000346625,0.000346625
75,80.7382,0.64785,0.62139,1.08368,0.91543,1,0.995,0.89554,0.5067,0.52493,0.98893,0.00033425,0.00033425,0.00033425
76,81.7785,0.6388,0.55984,1.03281,0.92276,1,0.995,0.90797,0.44456,0.51555,0.94829,0.000321875,0.000321875,0.000321875
77,82.7589,0.66085,0.59903,1.07131,0.92276,1,0.995,0.90797,0.44456,0.51555,0.94829,0.0003095,0.0003095,0.0003095
78,83.7732,0.60856,0.54759,1.03095,0.93575,0.98965,0.995,0.92126,0.44048,0.49185,0.9596,0.000297125,0.000297125,0.000297125
79,84.7856,0.60836,0.57198,1.02427,0.93971,0.98293,0.995,0.92163,0.4385,0.44731,0.94406,0.00028475,0.00028475,0.00028475
80,85.8609,0.65549,0.58882,1.10344,0.95086,0.99072,0.995,0.9213,0.42482,0.45859,0.93171,0.000272375,0.000272375,0.000272375
81,86.8493,0.56647,0.56624,1.03092,0.95086,0.99072,0.995,0.9213,0.42482,0.45859,0.93171,0.00026,0.00026,0.00026
